                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96482,                0.88787,                 1.1121,                0.78325,                0.78946,                0.84828,                0.66855,                0.84219,                0.65228,                0.98146,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91931,                0.83216,                  1.073,                0.79867,                0.78834,                0.84681,                0.67272,                0.83636,                0.64752,                0.97907,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93457,                0.86896,                 1.1117,                0.78947,                0.79932,                0.85199,                0.67604,                0.83223,                0.63974,                0.97661,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.93277,                0.82807,                 1.0909,                0.80664,                0.79869,                 0.8551,                 0.6794,                0.83035,                0.63246,                 0.9755,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.92908,                0.83486,                 1.0928,                0.80174,                0.80201,                0.85609,                0.68175,                 0.8259,                0.62537,                0.97288,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90654,                0.82523,                 1.0893,                0.80576,                  0.795,                 0.8554,                0.68446,                0.82513,                0.62124,                0.97131,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92179,                0.80557,                 1.0662,                0.81359,                0.80615,                0.86077,                 0.6863,                0.82254,                0.61938,                0.96944,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92827,                0.83116,                 1.0729,                0.82121,                0.79745,                0.86692,                0.69018,                0.81845,                0.61525,                0.96699,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90502,                0.78881,                 1.0674,                0.84229,                 0.7903,                0.86654,                0.69066,                0.80986,                0.61716,                0.96304,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86876,                0.77436,                 1.0486,                0.86579,                0.77879,                0.86833,                0.69194,                0.80118,                0.61479,                0.95969,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92878,                0.81598,                 1.0562,                0.85774,                0.79279,                 0.8609,                0.69369,                0.79778,                0.61107,                0.95817,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88911,                0.79982,                 1.0703,                0.87122,                0.78232,                0.85898,                0.69893,                0.79498,                0.60591,                0.95719,              6.952e-05,              6.952e-05,              6.952e-05
